variant,detector,kind,rank,stem,value,bgr_delta,luma_delta,chroma_delta,grad_ratio,luma_std_ratio,delta_f1,delta_false_edge,delta_endpoints,delta_pred_density
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,1,limayuanjia.18,-0.0357232173654044,1.9619433879852295,1.5649511814117432,0.6795263886451721,1.1164437311400872,0.9699639163528625,-0.0357232173654044,0.06417867764813544,-5.11807033546164,0.0004199218749999997
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,2,chazhuang.6,-0.03308743036511752,1.5881282091140747,1.4797558784484863,0.01650390587747097,1.132513810349778,0.9732867971425825,-0.03308743036511752,0.05739197820886727,9.48522707945899,0.001220703125
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,3,duowenqigou.4,-0.030858507729621065,3.6998307704925537,3.2505273818969727,1.1487548351287842,1.0062397522957878,0.9912868302540081,-0.030858507729621065,0.08502736389231597,10.238024257449046,0.0015234374999999996
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,4,tama.10,-0.029579757446865695,4.918877124786377,1.8222362995147705,1.5813769102096558,1.434751432150864,0.9708658345551823,-0.029579757446865695,0.03637566137566137,-4.566210045662101,-0.00013671875000000012
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,5,haiyangkadun.19,-0.02567493198607035,1.9301432371139526,1.484804630279541,0.8153369426727295,1.2482354000408595,0.981807597498379,-0.02567493198607035,0.023619561473998463,7.2598659717051355,0.0005273437499999992
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,6,qiangzhuang.17,-0.02521865505250709,3.9336295127868652,1.0831836462020874,2.477123975753784,1.5989854481243102,1.0189467722955363,-0.02521865505250709,0.05502189873685548,-8.197313303481153,-0.00010742187499999988
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,7,weixiaoyuanjia.21,-0.02286794235766587,5.256536483764648,1.1518065929412842,1.461484432220459,2.339863155681437,1.0961099377467654,-0.02286794235766587,0.04232742537313433,16.666666666666668,5.859375000000005e-05
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,8,lianzhuangluojia.12,-0.021770409601991503,2.0714030265808105,1.7078027725219727,0.5481298565864563,1.0429660891508008,0.9346620296025093,-0.021770409601991503,0.04036894877017076,2.785013023442197,0.00028320312500000003
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,9,jianci.4,-0.019316912497002403,2.0712532997131348,0.8033788800239563,1.5973047018051147,1.936628572405696,0.9946147163909373,-0.019316912497002403,0.02280015924712564,-3.269798449955222,0.00011718749999999924
D01_structure_flow,diffusionedge_baseline_50k,f1_loss,10,qiangzhuang.21,-0.01889051381285667,2.9686458110809326,1.189052700996399,1.6838476657867432,1.4469437332671755,1.0077205047076057,-0.01889051381285667,0.03229229836264402,0.0,-2.9296875000000243e-05
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,1,duowenqigou.4,0.08502736389231597,3.6998307704925537,3.2505273818969727,1.1487548351287842,1.0062397522957878,0.9912868302540081,-0.030858507729621065,0.08502736389231597,10.238024257449046,0.0015234374999999996
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,2,limayuanjia.18,0.06417867764813544,1.9619433879852295,1.5649511814117432,0.6795263886451721,1.1164437311400872,0.9699639163528625,-0.0357232173654044,0.06417867764813544,-5.11807033546164,0.0004199218749999997
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,3,chazhuang.6,0.05739197820886727,1.5881282091140747,1.4797558784484863,0.01650390587747097,1.132513810349778,0.9732867971425825,-0.03308743036511752,0.05739197820886727,9.48522707945899,0.001220703125
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,4,qiangzhuang.17,0.05502189873685548,3.9336295127868652,1.0831836462020874,2.477123975753784,1.5989854481243102,1.0189467722955363,-0.02521865505250709,0.05502189873685548,-8.197313303481153,-0.00010742187499999988
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,5,weixiaoyuanjia.21,0.04232742537313433,5.256536483764648,1.1518065929412842,1.461484432220459,2.339863155681437,1.0961099377467654,-0.02286794235766587,0.04232742537313433,16.666666666666668,5.859375000000005e-05
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,6,lianzhuangluojia.12,0.04036894877017076,2.0714030265808105,1.7078027725219727,0.5481298565864563,1.0429660891508008,0.9346620296025093,-0.021770409601991503,0.04036894877017076,2.785013023442197,0.00028320312500000003
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,7,chazhuang.4,0.03904996102010899,2.1629199981689453,0.9464355707168579,1.6207373142242432,1.515567746433044,1.0200673115149306,-0.01176658901015637,0.03904996102010899,6.504107857594271,0.0008593750000000008
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,8,tama.10,0.03637566137566137,4.918877124786377,1.8222362995147705,1.5813769102096558,1.434751432150864,0.9708658345551823,-0.029579757446865695,0.03637566137566137,-4.566210045662101,-0.00013671875000000012
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,9,lianzhuangluojia.11,0.03419917353041615,1.3532259464263916,1.1584277153015137,0.39570313692092896,1.874853280726535,0.9619302332210407,-0.016291353821713428,0.03419917353041615,2.656537067381697,0.0001171875000000001
D01_structure_flow,diffusionedge_baseline_50k,false_edge_increase,10,qiangzhuang.21,0.03229229836264402,2.9686458110809326,1.189052700996399,1.6838476657867432,1.4469437332671755,1.0077205047076057,-0.01889051381285667,0.03229229836264402,0.0,-2.9296875000000243e-05
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,1,weixiaoyuanjia.21,16.666666666666668,5.256536483764648,1.1518065929412842,1.461484432220459,2.339863155681437,1.0961099377467654,-0.02286794235766587,0.04232742537313433,16.666666666666668,5.859375000000005e-05
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,2,haiyangyuanjia.6,14.259294285774331,1.8210351467132568,1.3567675352096558,0.8522363305091858,1.0147234212922667,0.9919754089937829,-0.001847469341331398,0.00040674152441533273,14.259294285774331,0.0001953124999999993
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,3,shikelipu.5,12.917329093799683,2.016494035720825,1.72119140625,0.5517138838768005,0.9766116283251465,0.8619870469899136,0.0010163978858923617,-0.0019470404984423678,12.917329093799683,-8.789062499999986e-05
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,4,chichaoyiwan.4,12.345679012345679,2.941497325897217,1.174130916595459,1.9200830459594727,1.3659429061697612,1.033583488306966,-0.002060153794586461,0.006289308176100629,12.345679012345679,9.765625000000009e-06
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,5,xuehong.14,11.688311688311689,1.9047493934631348,1.6309765577316284,0.506274402141571,1.0580295740902854,0.9561674411883104,-0.007548554219872883,0.018544793269518994,11.688311688311689,0.0003710937499999999
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,6,paige.4,11.608442948914046,2.4233365058898926,1.4510546922683716,1.255312442779541,1.2418982602844415,0.9847050237612194,0.003058371044046382,0.00882607401903368,11.608442948914046,0.0011523437499999997
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,7,duowenqigou.4,10.238024257449046,3.6998307704925537,3.2505273818969727,1.1487548351287842,1.0062397522957878,0.9912868302540081,-0.030858507729621065,0.08502736389231597,10.238024257449046,0.0015234374999999996
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,8,haiyangkadun.9,9.770272493009486,3.2213053703308105,1.3526171445846558,2.0649073123931885,1.1347923083565197,0.9868396791101111,-0.005249186735744704,0.02152371367154981,9.770272493009486,0.00022460937500000042
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,9,duolie.6,9.722222222222221,2.5731217861175537,2.171767473220825,0.6630566120147705,0.9326129188131672,0.8672153565470553,-0.013578224032369857,0.00688068052119873,9.722222222222221,-1.9531249999999584e-05
D01_structure_flow,diffusionedge_baseline_50k,endpoint_increase,10,chazhuang.6,9.48522707945899,1.5881282091140747,1.4797558784484863,0.01650390587747097,1.132513810349778,0.9732867971425825,-0.03308743036511752,0.05739197820886727,9.48522707945899,0.001220703125
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,1,hailianzao.6,0.003408203124999995,3.1617610454559326,2.437509775161743,1.264345645904541,1.0574717991163514,1.0164015084894578,0.0010783580931099657,0.006418174763425238,-4.132148054230839,0.003408203124999995
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,2,jiaomaozao.28,0.002705078124999996,3.3386881351470947,2.3273143768310547,1.473535180091858,1.0331603898204937,1.0039287649549071,-0.0012861572229004858,0.008170426957410382,1.1674826963265517,0.002705078124999996
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,3,hailianzao.10,0.002480468749999999,3.56191086769104,2.267519474029541,1.8459081649780273,1.0796609450164485,0.991831467807702,0.011062922806703845,0.005705110602593433,3.4026293892494586,0.002480468749999999
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,4,jiaomaozao.19,0.0020800781249999956,3.951500654220581,2.809628963470459,1.8380224704742432,0.971497625213753,0.9971476948488476,0.01097925067451222,-0.005816176450497645,-0.7705761316872426,0.0020800781249999956
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,5,hailianzao.8,0.001699218750000002,3.469492197036743,2.1585352420806885,1.8949121236801147,1.0268927815629296,0.9918835904235289,-0.014000234764665831,0.02263155229308239,0.6937238741810177,0.001699218750000002
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,6,jiaomaozao.13,0.0016503906249999978,3.5006771087646484,2.990664005279541,1.174770474433899,0.9972672770782731,0.9828093864136419,-0.003587117399091011,0.012815431650343462,0.138491551189869,0.0016503906249999978
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,7,jiaomaozao.26,0.0015722656249999994,3.498342990875244,2.511601448059082,1.6489746570587158,1.0314341525684105,0.9703613494535,-0.004420468889585472,0.017663580247785193,0.4314730034154479,0.0015722656249999994
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,8,duowenqigou.4,0.0015234374999999996,3.6998307704925537,3.2505273818969727,1.1487548351287842,1.0062397522957878,0.9912868302540081,-0.030858507729621065,0.08502736389231597,10.238024257449046,0.0015234374999999996
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,9,jiaomaozao.18,0.0014160156249999958,2.8496906757354736,1.9735645055770874,1.3718115091323853,1.034052983373907,1.0042848401892077,-0.007159516472929783,0.011161046944620556,-4.894520100997333,0.0014160156249999958
D01_structure_flow,diffusionedge_baseline_50k,pred_density_increase,10,yuanjiazao.6,0.0014062499999999995,2.4661848545074463,1.5865625143051147,1.511938452720642,1.0158169097958587,1.0019407205919437,-0.0066728085909091295,0.02469331797182761,-7.316053877211296,0.0014062499999999995
D01_structure_flow,msfi_50k,f1_loss,1,hailianzao.8,-0.04119330115497777,3.469492197036743,2.1585352420806885,1.8949121236801147,1.0268927815629296,0.9918835904235289,-0.04119330115497777,-0.001423510910174397,0.06364022061943331,-0.012138671874999996
D01_structure_flow,msfi_50k,f1_loss,2,jiaomaozao.29,-0.037890851147727944,1.9129524230957031,1.782871127128601,1.2260693311691284,1.1114405401902985,1.0024993047048332,-0.037890851147727944,-0.010451868971409595,1.1674970321832845,-0.0038574218749999993
D01_structure_flow,msfi_50k,f1_loss,3,hailianzao.10,-0.0343614096994459,3.56191086769104,2.267519474029541,1.8459081649780273,1.0796609450164485,0.991831467807702,-0.0343614096994459,0.005898072488134315,-3.7409450978494103,-0.00587890625
D01_structure_flow,msfi_50k,f1_loss,4,shikelipu.4,-0.03189907383529289,1.631090521812439,1.4130761623382568,0.5265088081359863,1.0567437494021643,0.9789598353811664,-0.03189907383529289,0.010975609756097543,0.0,-0.0006835937499999997
D01_structure_flow,msfi_50k,f1_loss,5,xinyue.4,-0.02505498843177001,2.2735416889190674,1.256650447845459,1.2989404201507568,1.3237252431971316,1.0136586704170838,-0.02505498843177001,-0.011860280318528413,-2.873389389631601,-0.0014453125000000004
D01_structure_flow,msfi_50k,f1_loss,6,chichaoyiwan.7,-0.022295226483729058,1.2824381589889526,0.9269921779632568,0.29808592796325684,1.618055067650524,0.9982733310779379,-0.022295226483729058,-0.01678743961352657,0.0,-0.0004003906249999999
D01_structure_flow,msfi_50k,f1_loss,7,limayuanjia.16,-0.02142296125714971,2.0919172763824463,1.4296386241912842,0.8076757788658142,1.1236173552809827,0.976837949567023,-0.02142296125714971,-0.004807692307692308,0.0,-0.0006445312500000001
D01_structure_flow,msfi_50k,f1_loss,8,lianzhuangluojia.14,-0.018176680086354313,2.260725975036621,1.8987890481948853,0.9359814524650574,1.0123244832285705,0.9927489939144852,-0.018176680086354313,-0.0050119329116194156,-5.285038403277791,-0.00220703125
D01_structure_flow,msfi_50k,f1_loss,9,tiaowenhuangou.5,-0.01634230046297669,3.5179686546325684,3.2115721702575684,0.8396191596984863,0.9744290255327636,0.95329703263612,-0.01634230046297669,-0.004598882563778203,7.907829274679236,-0.0009277343749999993
D01_structure_flow,msfi_50k,f1_loss,10,lianzhuangluojia.13,-0.016252743001491154,2.367835283279419,2.0115039348602295,0.9578759670257568,0.9960252580258028,0.9833631131617468,-0.016252743001491154,0.00756033868050604,-5.630956361027321,-0.0016015625000000006
D01_structure_flow,msfi_50k,false_edge_increase,1,shikelipu.4,0.010975609756097543,1.631090521812439,1.4130761623382568,0.5265088081359863,1.0567437494021643,0.9789598353811664,-0.03189907383529289,0.010975609756097543,0.0,-0.0006835937499999997
D01_structure_flow,msfi_50k,false_edge_increase,2,lianzhuangluojia.13,0.00756033868050604,2.367835283279419,2.0115039348602295,0.9578759670257568,0.9960252580258028,0.9833631131617468,-0.016252743001491154,0.00756033868050604,-5.630956361027321,-0.0016015625000000006
D01_structure_flow,msfi_50k,false_edge_increase,3,haiyangkadun.20,0.0070799138160602335,2.5373470783233643,1.641171932220459,1.0774316787719727,1.0736651821042977,0.9806153731608067,-0.008058077015761778,0.0070799138160602335,-4.777070063694268,-0.001337890625000001
D01_structure_flow,msfi_50k,false_edge_increase,4,hailianzao.10,0.005898072488134315,3.56191086769104,2.267519474029541,1.8459081649780273,1.0796609450164485,0.991831467807702,-0.0343614096994459,0.005898072488134315,-3.7409450978494103,-0.00587890625
D01_structure_flow,msfi_50k,false_edge_increase,5,lingxinghaixian.5,0.0031154263007381056,2.355654239654541,0.9217480421066284,1.6284228563308716,1.716607811543983,1.0922592288045587,-0.006175869234026576,0.0031154263007381056,-13.701392364075241,-0.002880859375000001
D01_structure_flow,msfi_50k,false_edge_increase,6,weixiaoyuanjia.20,0.00282545550567731,2.970240831375122,1.3945410251617432,1.7963037490844727,1.1947471563053351,0.9888290424357495,-0.005651376185576318,0.00282545550567731,-3.0211480362537766,-0.0008691406249999997
D01_structure_flow,msfi_50k,false_edge_increase,7,qiangzhuang.14,0.0024890002248129234,3.10610032081604,1.2038671970367432,1.6008496284484863,1.196225276504058,1.000411168771884,-0.0038400122740118725,0.0024890002248129234,5.582010582010582,-0.0006542968749999999
D01_structure_flow,msfi_50k,false_edge_increase,8,haiyangyuanjia.7,0.0024603174603174544,1.6037890911102295,1.5322948694229126,0.4092040956020355,1.0761896444631722,0.9870623601154467,-0.0046446472384116255,0.0024603174603174544,-11.82033096926714,-0.0016601562500000002
D01_structure_flow,msfi_50k,false_edge_increase,9,xinyue.5,0.0020390824129141866,2.194495439529419,1.7722461223602295,0.6209277510643005,0.9232162574917775,0.73546434131814,-0.0010850969138592736,0.0020390824129141866,3.0092592592592595,-0.001220703125
D01_structure_flow,msfi_50k,false_edge_increase,10,donghaiyuanjia.19,0.0015479876160990683,3.311093807220459,1.6114550828933716,1.6303759813308716,1.2328604109345185,1.005209787219389,-0.005812591801438005,0.0015479876160990683,0.0,-0.0005566406249999998
D01_structure_flow,msfi_50k,endpoint_increase,1,shikelipu.5,10.110908200080178,2.016494035720825,1.72119140625,0.5517138838768005,0.9766116283251465,0.8619870469899136,0.062086189489345966,-0.10631870131760937,10.110908200080178,-0.0009863281249999998
D01_structure_flow,msfi_50k,endpoint_increase,2,haiyangkadun.13,9.655475093263112,1.3090656995773315,1.117587924003601,0.35457029938697815,1.571237905777369,0.9991807141447238,0.0009060433088701192,-0.0017241379310344862,9.655475093263112,-0.0003417968750000001
D01_structure_flow,msfi_50k,endpoint_increase,3,jianci.4,9.197283564588625,2.0712532997131348,0.8033788800239563,1.5973047018051147,1.936628572405696,0.9946147163909373,0.004316836604087881,-0.020094064202985623,9.197283564588625,-0.0025097656249999985
D01_structure_flow,msfi_50k,endpoint_increase,4,tiaowenhuangou.5,7.907829274679236,3.5179686546325684,3.2115721702575684,0.8396191596984863,0.9744290255327636,0.95329703263612,-0.01634230046297669,-0.004598882563778203,7.907829274679236,-0.0009277343749999993
D01_structure_flow,msfi_50k,endpoint_increase,5,qiangzhuang.14,5.582010582010582,3.10610032081604,1.2038671970367432,1.6008496284484863,1.196225276504058,1.000411168771884,-0.0038400122740118725,0.0024890002248129234,5.582010582010582,-0.0006542968749999999
D01_structure_flow,msfi_50k,endpoint_increase,6,donghaiyuanjia.16,5.2356020942408374,5.538743495941162,1.2404491901397705,1.513486385345459,1.6645260645568434,0.9566853527329061,0.0016643676201938407,-0.003389830508474576,5.2356020942408374,-0.0005175781250000002
D01_structure_flow,msfi_50k,endpoint_increase,7,paige.5,5.189100046559734,2.324934959411621,0.9486425518989563,1.5768554210662842,1.7250361655794595,1.096655172316541,0.0026485429320884935,-0.02006281794149606,5.189100046559734,-0.0044140625
D01_structure_flow,msfi_50k,endpoint_increase,8,qiangzhuang.13,5.1020408163265305,3.171682834625244,1.2868847846984863,1.6217724084854126,1.109819366463454,1.0041869693762433,0.017322350772794648,-0.03241141574474908,5.1020408163265305,-0.0009472656249999998
D01_structure_flow,msfi_50k,endpoint_increase,9,qiangzhuang.15,4.545454545454546,3.267932891845703,1.4603320360183716,1.6020996570587158,0.995951225593042,0.9091171536614867,0.009502306861686405,-0.017109728506787325,4.545454545454546,-0.0008789062499999999
D01_structure_flow,msfi_50k,endpoint_increase,10,qiangzhuang.26,4.524886877828054,3.002838611602783,1.2129687070846558,1.7108983993530273,1.301231964114486,1.0006882645045727,0.0015517609357136308,-0.0031335898845519516,4.524886877828054,-0.0008593750000000003
D01_structure_flow,msfi_50k,pred_density_increase,1,weixiaoyuanjia.22,-0.0002539062499999999,5.125322341918945,1.0575097799301147,1.5067334175109863,2.464198669861674,1.0133404033206428,0.004405286343612369,-0.008771929824561403,0.0,-0.0002539062499999999
D01_structure_flow,msfi_50k,pred_density_increase,2,tama.11,-0.00025390625,0.73245769739151,0.6039257645606995,0.20527343451976776,3.75162446167216,1.0126040424995575,0.003095975232198178,-0.006172839506172839,0.0,-0.00025390625
D01_structure_flow,msfi_50k,pred_density_increase,3,chichaoyiwan.4,-0.00028320312500000003,2.941497325897217,1.174130916595459,1.9200830459594727,1.3659429061697612,1.033583488306966,0.0,0.0,0.0,-0.00028320312500000003
D01_structure_flow,msfi_50k,pred_density_increase,4,weixiaoyuanjia.21,-0.00031249999999999995,5.256536483764648,1.1518065929412842,1.461484432220459,2.339863155681437,1.0961099377467654,0.025423728813559365,-0.049586776859504134,0.0,-0.00031249999999999995
D01_structure_flow,msfi_50k,pred_density_increase,5,qiuxing.4,-0.00031250000000000006,1.9270117282867432,1.3737109899520874,0.8253710865974426,1.1260061492607183,0.9856588241942013,0.0,0.0,0.0,-0.00031250000000000006
D01_structure_flow,msfi_50k,pred_density_increase,6,tama.14,-0.0003320312500000001,0.7461816668510437,0.61279296875,0.22545897960662842,3.855332927606744,1.0097219893792109,0.0,0.0,0.0,-0.0003320312500000001
D01_structure_flow,msfi_50k,pred_density_increase,7,chichaoyiwan.1,-0.0003417968750000001,2.9878060817718506,1.175634741783142,1.9201709032058716,1.325024202102697,1.0069645093699207,-0.006882555283375225,-0.005747126436781609,0.0,-0.0003417968750000001
D01_structure_flow,msfi_50k,pred_density_increase,8,haiyangkadun.13,-0.0003417968750000001,1.3090656995773315,1.117587924003601,0.35457029938697815,1.571237905777369,0.9991807141447238,0.0009060433088701192,-0.0017241379310344862,9.655475093263112,-0.0003417968750000001
D01_structure_flow,msfi_50k,pred_density_increase,9,chichaoyiwan.2,-0.0003515624999999999,3.0363378524780273,1.2804882526397705,1.9141699075698853,1.4780260240144136,1.0423295941387563,0.0,0.0,0.0,-0.0003515624999999999
D01_structure_flow,msfi_50k,pred_density_increase,10,qiuxing.3,-0.0003710937499999999,1.6708952188491821,0.9144238233566284,0.7628759741783142,0.9224772684832967,0.9859027657187874,0.0034241883659053007,-0.008403361344537815,0.0,-0.0003710937499999999
