method,MS_SSIM,PSNR,UCIQE,UIQM,delta_ms_ssim,delta_psnr,delta_uciqe,delta_uiqm,z_uciqe,z_uiqm,visual_score,gate_pass,rank
fusion_s10,0.7686599987179865,17.552176036602553,4.101802270874204,23.88495486867329,0.06751017078109411,1.436174225745912,-0.6234540835670801,-5.033166729304039,-1.354878524386205,-1.1035554082103176,-1.2292169662982613,True,1
fusion_s05,0.7638301091644133,17.24941755082701,4.220439346411482,24.312974170684637,0.0626802812275209,1.133415739970367,-0.5048170080298018,-4.605147427292692,-1.1794456769363486,-0.6947501488157182,-0.9370979128760334,True,2
fusion_s08,0.764469206951588,17.04850301626389,4.71487484130228,24.21679534520959,0.06331937901469564,0.9325012054072488,-0.010381513139003928,-4.701326252767739,-0.4483063905358171,-0.7866114492566784,-0.6174589198962477,True,3
fusion_s03,0.7567768452372475,16.916752326285245,4.588883277338013,24.786922218487536,0.05562701730035513,0.8007505154286036,-0.13637307710327118,-4.131199379489793,-0.6346145806257428,-0.24207791251434677,-0.4383462465700448,True,4
fusion_s07,0.7562865217035938,16.808578428799734,4.90932508195813,24.781844638427586,0.05513669376670138,0.692576617943093,0.18406872751684578,-4.136276959549743,-0.16076592941878184,-0.2469275569667126,-0.2038467431927472,True,5
fusion_s01,0.7542064469381283,16.83104455544573,4.81681536185176,24.807990653888346,0.05305661900123593,0.7150427445890877,0.09155900741047596,-4.110130944088983,-0.2975633305815416,-0.22195525178714845,-0.25975929118434504,True,6
fusion_s02,0.7551148444885322,16.76706662111615,5.108509601104872,24.682163379894376,0.053965016551639766,0.6510648102595091,0.38325324666358807,-4.235958218082953,0.13377527705982398,-0.3421340641498128,-0.1041793935449944,True,7
fusion_s06,0.7513089194422654,16.61694912552411,5.488833662961783,24.836952707022547,0.05015909150537301,0.5009473146674672,0.7635773085204987,-4.081168890954782,0.696173943944426,-0.19429332255057086,0.25094031069692757,True,8
fusion_s04,0.7175799349374451,16.133754620487377,5.859966691715915,26.959606944650638,0.016430107000552696,0.017752809630735555,1.1347103372746306,-1.9585146533266915,1.244981504499711,1.833073696041487,1.539027600270599,True,9
fusion_s09,0.7096870460588,15.967380423882778,6.370985894217322,27.133574159190893,0.008537218121907553,-0.14862138697386307,1.6457295397760374,-1.7845474387864364,2.0006437069804757,1.9992314182098194,1.9999375625951474,False,10
