candidate_id,family,method_summary,design_doc,first_run,last_run,best_gate_result,current_decision,archive_status,may_iterate,notes
P12,degradation_aware_pyramid_frequency,pyramid-frequency enhancement with degradation-aware fusion,experiments/downstream_driven_v1/degradation_aware_pyramid_frequency_v1_myedge168_stage1_status_20260525.md,P12,P12,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,rescued legacy but not near raw; do not continue same family without method review
P13,degradation_aware_pyramid_frequency,calibrated pyramid-frequency variant,experiments/downstream_driven_v1/calibrated_pyramid_frequency_v1_myedge168_stage1_status_20260525.md,P13,P13,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,same family calibration did not solve gate
P14,weak_boundary_pyramid_fusion,weak-boundary local pyramid fusion,experiments/downstream_driven_v1/weak_boundary_pyramid_fusion_v1_myedge168_stage1_status_20260525.md,P14,P14,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,rescue only; not strong downstream evidence
P15,weak_boundary_pyramid_fusion,structure-guarded weak-boundary variant,experiments/downstream_driven_v1/structure_guarded_weak_boundary_v1_myedge168_stage1_status_20260526.md,P15,P15,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,mixed gate; stop patch loop
P16,microstructure_csp,c01 microstructure color-structure preserving candidate,experiments/downstream_driven_v1/c01_microstructure_csp_v1_myedge168_stage1_status_20260526.md,P16,P16,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,near raw but baseline proxy mixed
P17,topology_guarded_microfusion,topology-guarded microfusion,experiments/downstream_driven_v1/topology_guarded_microfusion_v1_myedge168_stage1_status_20260526.md,P17,P17,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,guard/fallback family should not continue without review
P18,topology_guarded_microfusion,topology-pruned microfusion,experiments/downstream_driven_v1/topology_pruned_microfusion_v1_myedge168_stage1_status_20260526.md,P18,P18,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,endpoint/false-edge mixed
P19,topology_guarded_microfusion,baseline-stabilized microfusion,experiments/downstream_driven_v1/baseline_stabilized_microfusion_v1_myedge168_stage1_status_20260526.md,P19,P19,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,same-family stabilization still mixed
P20,endpoint_stabilized_weak_boundary,endpoint-stabilized weak-boundary pullback,experiments/downstream_driven_v1/endpoint_stabilized_weak_boundary_v1_myedge168_stage1_status_20260526.md,P20,P20,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,endpoint stabilization did not produce strong pass
P21,balanced_weak_boundary,balanced weak-boundary fusion,experiments/downstream_driven_v1/balanced_weak_boundary_pyramid_fusion_v1_myedge168_stage1_status_20260526.md,P21,P21,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,rescue only
P22,ac_guarded_weak_boundary,AC-guarded weak-boundary fusion,experiments/downstream_driven_v1/ac_guarded_weak_boundary_fusion_v1_myedge168_stage1_status_20260526.md,P22,P22,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,ODS/OIS/AP signals but AC/false-edge not solved
P23,ac_guarded_weak_boundary,precision-rebalanced AC-guarded variant,experiments/downstream_driven_v1/precision_rebalanced_ac_guarded_weak_boundary_fusion_v1_myedge168_stage1_status_20260526.md,P23,P23,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,metric near raw but baseline false-edge mixed
P24,ac_guarded_weak_boundary,false-edge-floor AC-guarded variant,experiments/downstream_driven_v1/false_edge_floor_ac_guarded_weak_boundary_fusion_v1_myedge168_stage1_status_20260526.md,P24,P24,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,false-edge improvement caused MSFI AP regression
P25,ac_guarded_weak_boundary,AP-preserving AC-guarded variant,experiments/downstream_driven_v1/ap_preserving_ac_guarded_weak_boundary_fusion_v1_myedge168_stage1_status_20260526.md,P25,P25,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,AP recovered but structure mixed
P26,dual_anchor_false_edge_floor,dual-anchor false-edge floor,experiments/downstream_driven_v1/dual_anchor_false_edge_floor_v1_myedge168_stage1_status_20260526.md,P26,P26,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,MSFI AC and baseline structure still mixed
P27,raw_detail_lowfreq_chroma,raw-detail low-frequency chroma migration,experiments/downstream_driven_v1/raw_detail_lowfreq_chroma_v1_myedge168_stage1_status_20260526.md,P27,P27,candidate_metric_near_raw_structure_mixed,archive_diagnostic,archived,no,current near-raw reference but not strong pass
P28,raw_detail_chroma_guard,raw-detail chroma guard pending audit,docs/stage1_myedge168_gt_edge_proxy_prescreen_p28_20260526_cn.md,P28,P28,pending_audit,pending_audit,pending_audit,no,do not iterate before fixed-detector/status audit
D01,downstream_driven_v2_structure_flow,mechanism-complete structure flow candidate,docs/downstream_driven_v2_d01_method_design_and_audit_20260526_cn.md,D01,D01,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,mechanism-complete weak candidate; not success; stop before D02
FF01,full_flow_downstream_stage1,complete Stage1 full-flow prototype with BPH IMF detail WB-safe contrast CLAHE direct weighted fusion,docs/evidence/full_flow_recovery/full_flow_downstream_stage1_mainline_v1_method_design_cn.md,FF01,FF01,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,full-flow v8 rescues legacy but misses raw and worsens structure proxy; stop before 502_496_2770 unless method-level redesign
FF02,full_flow_downstream_stage1,detector-compatible full-flow with color-structure decoupling and topology-compatible fusion,docs/evidence/full_flow_recovery/full_flow_downstream_stage1_mainline_v2_method_design_cn.md,FF02_SMOKE,FF02_168,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,FF02 rescues legacy but remains below raw on both fixed detectors and should stop same-family full-flow iteration
TLVC01,topology_locked_visual_chroma_full_flow,topology-locked visual chroma full-flow with raw gray-plane topology anchor,docs/evidence/tlvc01_topology_locked/topology_locked_visual_chroma_full_flow_v1_method_design_cn.md,TLVC01,TLVC01,candidate_rescues_legacy_but_not_near_raw,archive_diagnostic,archived,no,complete flow with MyEdge raw topology lock rescues legacy but misses raw-near due MSFI AC and DiffusionEdge structure; stop Stage1-only direct replacement
